place,school,score,year,school ID,pop
1,CINN COLERAIN,68,1999,396,1298
2,KENT ROOSEVELT,123,1999,1326,536
3,MASSILLON JACKSON,127,1999,764,1008
4,DUBLIN COFFMAN,175,1999,474,912
5,LEWIS CTR OLENTANGY,192,1999,1202,837
6,STRONGSVILLE,202,1999,1498,1069
7,FINDLAY,209,1999,586,810
8,HILLIARD DAVIDSON,210,1999,716,816
9,ASHLAND,210,1999,138,543
10,BEAVERCREEK,223,1999,178,1154
11,CINN SYCAMORE,238,1999,1508,774
12,MEDINA,246,1999,1006,1100
13,CLAYTON NORTHMONT,249,1999,1142,772
14,ROCKY RIV MAGNIFICAN,293,1999,1320,438
15,STOW,306,1999,1492,926
16,COL UPPER ARLINGTON,357,1999,1572,870
1,CINCINNATI COLERAIN,73,2000,396,1298
2,HILLIARD DAVIDSON,134,2000,716,816
3,CLAYTON NORTHMONT,149,2000,1142,772
4,DUBLIN COFFMAN,149,2000,474,912
5,MASSILLON JACKSON,171,2000,764,1008
6,STRONGSVILLE HS,172,2000,1498,1069
7,MEDINA,179,2000,1006,1100
8,CINCINNATI ANDERSON,192,2000,118,541
9,CINCINNATI TURPIN,193,2000,1554,625
10,DUBLIN SCIOTO,261,2000,475,609
11,ST JOSEPH ACADEMY,262,2000,1366,721
12,TOL NOTRE DAME ACAD,267,2000,1182,610
13,KENT ROOSEVELT,272,2000,1326,536
14,COL UPPER ARLINGTON,275,2000,1572,870
15,ALLIANCE,356,2000,112,432
16,CELINA,362,2000,330,420
1,CINCINNATI TURPIN,77,2001,1554,625
2,HILLIARD DAVIDSON,148,2001,716,816
3,DUBLIN COFFMAN,165,2001,474,912
4,DUBLIN SCIOTO,173,2001,475,609
5,CINCINNATI COLERAIN,182,2001,396,1298
6,STRONGSVILLE,183,2001,1498,1069
7,MASSILLON JACKSON,186,2001,764,1008
8,MEDINA,188,2001,1006,1100
9,CLV ST JOSEPH ACAD,202,2001,1366,721
10,ASHLAND,221,2001,138,543
11,CENTERVILLE,228,2001,336,1298
12,KENT ROOSEVELT,251,2001,1326,536
13,LAKEWOOD,256,2001,836,1309
14,LANCASTER,291,2001,838,841
15,DAYTON CARROLL,307,2001,320,332
16,ALLIANCE,357,2001,112,432
1,Hilliard Davidson,72,2002,716,816
2,Cin. Turpin,93,2002,1554,625
3,Dublin Coffman,116,2002,474,912
4,Cle. St. Joseph Acad.,160,2002,1366,721
5,Liberty Twp. Lakota East,171,2002,836,1309
6,Strongsville,179,2002,1498,1069
7,Cin. Colerain,193,2002,396,1298
8,Dublin Scioto,212,2002,475,609
9,Bowling Green,220,2002,242,386
10,Massillon Jackson,231,2002,764,1008
11,Medina,234,2002,1006,1100
12,Cin. St. Ursula Acad.,258,2002,1380,682
13,North Canton Hoover,281,2002,730,669
14,Amherst Steele,310,2002,1486,636
15,Canton Glenoak,376,2002,650,909
16,Worth. Thomas Worthington,386,2002,1738,805
1,Bowling Green,52,2003,242,386
2,Cin. Colerain,114,2003,396,1298
3,Hilliard Davidson,129,2003,716,816
4,Cin. Turpin,149,2003,1554,625
5,Cin. Ursuline Academy,174,2003,1582,684
8,Dublin Coffman,224,2003,474,912
9,Massillon Jackson,238,2003,764,1008
10,Hudson,251,2003,740,778
11,Rocky Riv. Magn.,264,2003,1320,438
12,Tol. Notre Dame Acad,285,2003,1182,610
13,North Canton Hoover,287,2003,730,669
14,Centerville,307,2003,336,1298
15,Strongsville,324,2003,1498,1069
16,Brecksville-Broadview,326,2003,248,684
6*,Cin. St. Ursula Acad,195,2003,1380,682
7*,Upper Arlington,195,2003,1572,870
1,Bowling Green,78,2004,242,386
2,Massillon Jackson,102,2004,764,1008
3,Mason,105,2004,972,1728
4,Cin. Colerain,140,2004,396,1298
5,Hudson,142,2004,740,778
6,Rocky Riv. Magnificat,156,2004,1320,438
7,Brecksville-Broadview,195,2004,248,684
8,Medina,214,2004,1006,1100
9,Cin. St. Ursula Acade,216,2004,1380,682
10,Centerville,275,2004,336,1298
11,Pick. North,276,2004,1255,858
12,Cle. St. Joseph Acade,277,2004,1366,721
13,Hilliard Darby,279,2004,717,756
14,Dublin Coffman,313,2004,474,912
15,Hilliard Davidson,323,2004,716,816
16,Amherst Steele,355,2004,1486,636
1,Bowling Green,78,2005,242,386
2,Massillon Jackson,102,2005,764,1008
3,Mason,105,2005,972,1728
4,Cin. Colerain,140,2005,396,1298
5,Hudson,142,2005,740,778
6,Rocky Riv. Magnificat,156,2005,1320,438
7,Brecksville-Broadview,195,2005,248,684
8,Medina,214,2005,1006,1100
9,Cin. St. Ursula Acade,216,2005,1380,682
10,Centerville,275,2005,336,1298
11,Pick. North,276,2005,1255,858
12,Cle. St. Joseph Acade,277,2005,1366,721
13,Hilliard Darby,279,2005,717,756
14,Dublin Coffman,313,2005,474,912
15,Hilliard Davidson,323,2005,716,816
16,Amherst Steele,355,2005,1486,636
1,Cin. St. Ursula Acade,116,2006,1380,682
2,Bowling Green,128,2006,242,386
3,Canton GlenOak,146,2006,650,909
4,Rocky Riv. Magnificat,148,2006,1320,438
5,Mason,166,2006,972,1728
6,Brecksville-Broadview,169,2006,248,684
7,Worth. Thomas Worthin,188,2006,1738,805
8,Cin. Turpin,201,2006,1554,625
9,Beavercreek,246,2006,178,1154
10,Hudson,248,2006,740,778
11,Pick. North,261,2006,1255,858
12,Cle. St. Joseph Acade,270,2006,1366,721
13,Brunswick,273,2006,268,1120
14,Upper Arlington,274,2006,1572,870
15,Dublin Coffman,281,2006,474,912
16,North Canton Hoover,295,2006,730,669
1,Brecksville-Broadview Hei,115,2007,248,684
2,Rocky River Magnificat,120,2007,1320,438
3,Massillon Jackson,132,2007,764,1008
4,North Canton Hoover,147,2007,730,669
5,Cincinnati Colerain,151,2007,396,1298
6,Springboro,151,2007,1470,906
7,Cincinnati Turpin,181,2007,1554,625
8,Centerville,196,2007,336,1298
9,Mason,199,2007,972,1728
10,Kings Mills Kings,205,2007,810,588
11,Cleveland St. Joseph Acad,208,2007,1366,721
12,Medina,282,2007,1006,1100
13,Loveland,294,2007,904,661
14,Dublin Coffman,308,2007,474,912
15,Sylvania Southview,336,2007,1510,570
16,Amherst Steele,416,2007,1486,636
1,Rocky Riv. Magnificat,68,2008,1320,438
2,North Canton Hoover,121,2008,730,669
3,Springboro,136,2008,1470,906
4,Upper Arlington,142,2008,1572,870
5,Cin. St. Ursula Academy,155,2008,1380,682
6,Cin. Oak Hills,187,2008,1188,1249
7,Mason,225,2008,972,1728
8,North Royalton,234,2008,1154,780
9,Hudson,237,2008,740,778
10,Sylvania Northview,243,2008,1510,570
11,Medina,248,2008,1006,1100
12,Cle. St. Joseph Academy,251,2008,1366,721
13,Kings Mills Kings,258,2008,810,588
14,New Carlisle Tecumseh,275,2008,1528,442
15,Tol. Notre Dame Academy,296,2008,1182,610
16,Cin. Colerain,329,2008,396,1298
1,Rocky Riv. Magnificat,28,2009,1320,438
2,Springboro,137,2009,1470,906
3,North Canton Hoover,142,2009,730,669
4,Brunswick,179,2009,268,1120
5,Brecksville-Broadview Hts,183,2009,248,684
6,Sylvania Northview,188,2009,1510,570
7,Tol. Notre Dame Academy,196,2009,1182,610
8,Mason,207,2009,972,1728
9,Dublin Scioto,208,2009,475,609
10,Hudson,260,2009,740,778
11,Cin. St. Ursula Academy,274,2009,1380,682
12,Green,277,2009,670,634
13,Kings Mills Kings,296,2009,810,588
14,Canal Winchester,,2009,303,554
15,Medina,334,2009,1006,1100
16,Mentor,342,2009,1016,1301
1,Rocky Riv. Magnificat,107,2010,1320,438
2,Mason,154,2010,972,1728
3,Louisville,165,2010,902,450
4,Tol. Notre Dame Academy,167,2010,1182,610
5,Brunswick,175,2010,268,1120
6,Springboro,176,2010,1470,906
7,North Canton Hoover,196,2010,730,669
8,Cin. St. Ursula Academy,200,2010,1380,682
9,Perrysburg,207,2010,1248,720
10,Dublin Coffman,211,2010,474,912
11,Strongsville,233,2010,1498,1069
12,Sylvania Northview,240,2010,1510,570
13,Hudson,246,2010,740,778
14,Kings Mills Kings,264,2010,810,588
15,Hilliard Davidson,278,2010,716,816
16,Mentor,341,2010,1016,1301
1,Brunswick,113,2011,268,1120
2,Beavercreek,118,2011,178,1154
3,Mason,118,2011,972,1728
4,Springboro,150,2011,1470,906
5,Dublin Coffman,170,2011,474,912
6,Rocky Riv. Magnificat,195,2011,1320,438
7,Sylvania Northview,203,2011,1510,570
8,Hilliard Davidson,203,2011,716,816
9,Hudson,207,2011,740,778
10,North Canton Hoover,227,2011,730,669
11,Brecksville-Broadview Hts,230,2011,248,684
12,Centerville,237,2011,336,1298
13,Upper Arlington,300,2011,1572,870
14,Dublin Scioto,310,2011,475,609
15,Cuy. Falls Walsh Jesuit,320,2011,1614,545
16,Louisville,351,2011,902,450
1,Mason,42,2012,972,1728
2,Centerville,142,2012,336,1298
3,Beavercreek,147,2012,178,1154
4,Syl. Northview,158,2012,1510,570
5,Hil. Davidson,180,2012,716,816
6,Dub. Coffman,201,2012,474,912
7,Springboro,203,2012,1470,906
8,Bay,218,2012,168,408
9,Hudson,219,2012,740,778
10,Mas. Jackson,220,2012,764,1008
11,Brunswick,243,2012,268,1120
12,Mentor,279,2012,1016,1301
13,Upper Arlington,291,2012,1572,870
14,No. Royalton,304,2012,1154,780
15,Walsh Jesuit,310,2012,1614,545
16,Dub. Scioto,333,2012,474,912
1,Mason,76,2013,972,1728
2,Beavercreek,107,2013,178,1154
3,Ursuline Academy,123,2013,1582,684
4,Centerville,126,2013,336,1298
5,Perrysburg,152,2013,1248,720
6,Brunswick,191,2013,268,1120
7,Gah. Lincoln,235,2013,876,1150
8,Oregon Clay,236,2013,372,576
9,Nordonia,238,2013,1116,597
10,Hil. Davidson,240,2013,716,816
11,GlenOak,244,2013,650,909
12,Rocky River,257,2013,1320,438
13,Thom. Worthington,292,2013,1738,805
14,Walsh Jesuit,309,2013,1614,545
15,Upper Arlington,334,2013,1572,870
16,Mentor,367,2013,1016,1301
1,Centerville,52,2014,336,1298
2,Mason,92,2014,972,1728
3,Hil. Davidson,153,2014,716,816
4,Beavercreek,171,2014,178,1154
5,Perrysburg,176,2014,1248,720
6,Olen. Liberty,178,2014,1203,952
7,Brunswick,211,2014,268,1120
8,Nordonia,228,2014,1116,597
9,Medina,230,2014,1006,1100
10,GlenOak,232,2014,650,909
11,Dub. Scioto,255,2014,474,912
12,Mentor,276,2014,1016,1301
13,Lak. East,279,2014,836,1309
14,No. Royalton,313,2014,1154,780
15,Green,321,2014,670,634
16,Dub. Coffman,340,2014,474,912
1,Centerville,71,2015,336,1298
2,Olen. Liberty,124,2015,1203,952
3,Mason,131,2015,972,1728
4,Hil. Davidson,175,2015,716,816
5,Troy,188,2015,1552,608
6,Mas. Jackson,211,2015,764,1008
7,Granville,218,2015,666,433
8,Brunswick,221,2015,268,1120
9,Shaker Hts.,230,2015,1408,909
10,Medina,247,2015,1006,1100
11,Watkins Memorial,248,2015,1632,582
12,Perrysburg,253,2015,1248,720
13,Chardon,270,2015,360,466
14,Beavercreek,272,2015,178,1154
15,Tol. N. Dame Acad.,275,2015,1182,610
16,Nordonia,312,2015,1116,597
1,Centerville,120,2016,336,1298
2,Troy,145,2016,1552,608
3,Beavercreek,168,2016,178,1154
4,Brunswick,182,2016,268,1120
5,Mason,185,2016,972,1728
6,Medina,213,2016,1006,1100
7,Shaker Hts.,215,2016,1408,909
8,Twinsburg,235,2016,350,658
9,Olen. Liberty,248,2016,1203,952
10,Ursuline Academy,259,2016,1582,684
11,Cle. St. Joseph Acad.,290,2016,1366,721
12,Aurora,295,2016,146,457
13,GlenOak,299,2016,650,909
14,Hil. Davidson,326,2016,716,816
15,Thom. Worthington,336,2016,1738,805
16,Hudson,341,2016,740,778
17,Olen. Orange,346,2016,1211,849
18,Gah. Lincoln,352,2016,876,1150
19,Tol. N. Dame Acad.,414,2016,1182,610
20,Perrysburg,477,2016,1248,720
1,Centerville,122,2017,336,1298
2,Ursuline Academy,137,2017,1582,684
3,Olen. Liberty,172,2017,1203,952
4,Hudson,187,2017,740,778
5,Beavercreek,197,2017,178,1154
6,Hil. Davidson,203,2017,716,816
7,Springboro,206,2017,1470,906
8,Granville,222,2017,666,433
9,Brunswick,242,2017,268,1120
10,Lak. East,248,2017,836,1309
11,Shaker Hts.,255,2017,1408,909
12,Medina,298*,2017,1006,1100
13,Troy,298*,2017,1552,608
14,Med Highland,313,2017,710,538
15,Cle. St. Joseph Acad.,317,2017,1366,721
16,Gah. Lincoln,347,2017,876,1150
17,Olen. Orange,375,2017,1211,849
18,Mass. Perry,398,2017,1244,648
19,Syl. Northview,457,2017,1510,570
20,Tol. N. Dame Acad.,473,2017,1182,610
1,Beavercreek,118,2018,178,1154
2,Centerville,141,2018,336,1298
3,Granville,142,2018,666,433
4,Mason,144,2018,972,1728
5,Lakota East,159,2018,836,1309
6,Medina,216,2018,1006,1100
7,Hilliard Davidson,229,2018,716,816
8,Turpin,251,2018,1554,625
9,Hudson,262,2018,740,778
10,Olentangy Liberty,268,2018,1203,952
11,Jackson (Massillon),320,2018,764,1008
12,Notre Dame Academy (Toledo),326,2018,1182,610
13,Kings,327,2018,810,588
14,Wadsworth Senior,341,2018,1606,693
15,Thomas Worthington,351,2018,1738,805
16,Lancaster,353,2018,838,841
17,Brunswick Senior,364,2018,268,1120
18,Perrysburg,376,2018,1248,720
19,Louisville,378,2018,902,450
20,Green,423,2018,670,634
1,Beavercreek,51,2019,178,1154
2,Lakota East,121,2019,836,1309
3,Hilliard Davidson,132,2019,716,816
4,Mason,184,2019,972,1728
5,Medina,203,2019,1006,1100
6,Loveland,212,2019,904,661
7,Springboro,248,2019,1470,906
8,St Joseph Academy,252,2019,1366,721
9,Jackson (Massillon),253,2019,764,1008
10,Hudson,254,2019,740,778
11,Shaker Heights,256,2019,1408,909
12,Perrysburg,291,2019,1248,720
13,Brunswick Senior,322,2019,268,1120
14,Howland,341,2019,736,409
15,Anthony Wayne,363,2019,124,693
16,Thomas Worthington,375,2019,1738,805
17,Mentor,391,2019,1016,1301
18,Worthington Kilbourne,392,2019,1741,581
19,Olentangy Liberty,439,2019,1203,952
20,Olentangy Orange,442,2019,1211,849
