ID,pop,prob
475,609,0.05359722222222222
972,1728,0.5723166666666667
336,1298,0.3620361111111111
306,1305,0.36628055555555555
200,1024,0.22114166666666665
268,1120,0.27016111111111113
248,684,0.0767111111111111
550,961,0.1906
685,1273,0.3499333333333333
837,1153,0.2853111111111111
1188,1249,0.33563333333333334
740,778,0.10958888888888889
1704,1056,0.23505
532,1001,0.20912777777777777
178,1154,0.28768333333333335
1120,476,0.024163888888888888
1671,841,0.13510555555555556
1408,909,0.1643111111111111
650,909,0.16596666666666668
148,790,0.11545555555555556
1484,588,0.04759722222222222
1254,818,0.124025
1686,844,0.13618055555555555
1203,952,0.18450555555555556
970,740,0.09611944444444444
980,624,0.05800555555555555
592,729,0.09178888888888889
350,658,0.067875
1034,948,0.18320277777777777
1366,721,0.08749722222222223
1020,816,0.12371944444444445
1512,553,0.03903333333333334
586,810,0.12215277777777778
1674,733,0.092975
1510,570,0.04371666666666667
1211,849,0.13971944444444445
1016,1301,0.3631361111111111
1572,870,0.1462527777777778
140,434,0.017527777777777778
345,845,0.13660277777777777
646,580,0.046108333333333335
1076,682,0.07541388888888889
682,717,0.0869
876,1150,0.2831972222222222
1154,780,0.11074166666666667
1498,1069,0.24110833333333334
680,906,0.16492777777777778
1719,509,0.030347222222222223
1736,514,0.030755555555555557
930,776,0.10951666666666666
1320,438,0.017638888888888888
704,713,0.085775
666,433,0.01777222222222222
1006,1100,0.25767222222222225
238,657,0.06696944444444444
764,1008,0.21206666666666665
836,1309,0.3678416666666667
832,790,0.11486388888888889
1232,677,0.07386944444444445
385,844,0.13752777777777778
616,573,0.04409166666666667
1140,606,0.05189166666666667
846,792,0.11453055555555555
1326,536,0.03503333333333333
270,613,0.05529166666666667
1078,537,0.035597222222222225
1610,945,0.1804361111111111
716,816,0.1255638888888889
838,841,0.13546944444444445
483,620,0.05545555555555556
1152,541,0.03614722222222222
1428,841,0.1353138888888889
1698,557,0.04008888888888889
1492,926,0.1727027777777778
822,549,0.03841666666666667
717,756,0.10119166666666667
1204,570,0.04343888888888889
486,728,0.09042777777777777
1290,976,0.1961638888888889
1032,612,0.054011111111111114
1312,625,0.05788055555555555
978,457,0.020680555555555556
360,466,0.022430555555555554
540,858,0.1428361111111111
150,597,0.049925
1348,453,0.01984722222222222
1142,772,0.10762777777777778
1380,682,0.0756
1248,720,0.08773055555555556
396,865,0.14588333333333334
244,697,0.08099166666666667
1606,693,0.07867777777777778
1470,906,0.1636388888888889
1684,613,0.054038888888888886
1582,684,0.07537777777777778
807,1102,0.25760833333333333
1508,774,0.10740555555555556
670,634,0.060719444444444444
1118,586,0.047447222222222224
696,504,0.028533333333333334
1422,514,0.030991666666666667
1526,532,0.03461388888888889
1486,636,0.06076111111111111
474,912,0.16593888888888889
1614,545,0.03666944444444444
124,693,0.07938888888888888
1202,837,0.1329972222222222
1086,716,0.08745
868,497,0.027561111111111113
152,580,0.04633333333333333
1255,858,0.14254722222222221
810,588,0.04805555555555555
214,438,0.01817222222222222
608,444,0.019225
292,500,0.02882222222222222
902,450,0.019980555555555557
713,762,0.10418333333333334
1274,766,0.10446666666666667
1738,805,0.11966388888888889
1672,688,0.07663333333333333
548,505,0.030105555555555556
1741,581,0.045872222222222224
444,748,0.09926388888888889
1632,582,0.046047222222222225
1612,476,0.023733333333333332
138,534,0.035541666666666666
1552,608,0.05330555555555556
610,657,0.06806111111111111
710,538,0.03650833333333333
926,469,0.022933333333333333
1528,442,0.01828611111111111
904,661,0.06889722222222222
516,488,0.025916666666666668
1116,597,0.04993888888888889
528,593,0.049444444444444444
1244,648,0.06396944444444444
252,562,0.041825
1588,592,0.04789722222222222
224,614,0.05544444444444444
146,457,0.02068888888888889
730,669,0.07110555555555556
872,521,0.03251111111111111
1476,534,0.034475
1554,625,0.057675
1520,438,0.017780555555555556
422,492,0.026905555555555554
888,593,0.04924722222222222
1030,477,0.02421111111111111
1402,504,0.029091666666666665
1182,610,0.053675
1624,537,0.035616666666666665
118,541,0.03688888888888889
1410,453,0.020288888888888888
1746,566,0.042077777777777776
1608,474,0.023605555555555557
372,576,0.04485
1258,501,0.02858611111111111
1750,440,0.017894444444444445
302,554,0.039613888888888886
690,492,0.027125
1146,632,0.059830555555555553
984,469,0.02302222222222222
922,504,0.029216666666666665
802,486,0.025869444444444445
884,518,0.03153333333333333
304,464,0.022127777777777777
686,437,0.018072222222222222
