ID,pop,freq
475,609,19295
972,1728,206034
336,1298,130333
306,1305,131861
200,1024,79611
268,1120,97258
248,684,27616
550,961,68616
685,1273,125976
837,1153,102712
1188,1249,120828
740,778,39452
1704,1056,84618
532,1001,75286
178,1154,103566
1120,476,8699
1671,841,48638
1408,909,59152
650,909,59748
148,790,41564
1484,588,17135
1254,818,44649
1686,844,49025
1203,952,66422
970,740,34603
980,624,20882
592,729,33044
350,658,24435
1034,948,65953
1366,721,31499
1020,816,44539
1512,553,14052
586,810,43975
1674,733,33471
1510,570,15738
1211,849,50299
1016,1301,130729
1572,870,52651
140,434,6310
345,845,49177
646,580,16599
1076,682,27149
682,717,31284
876,1150,101951
1154,780,39867
1498,1069,86799
680,906,59374
1719,509,10925
1736,514,11072
930,776,39426
1320,438,6350
704,713,30879
666,433,6398
1006,1100,92762
238,657,24109
764,1008,76344
836,1309,132423
832,790,41351
1232,677,26593
385,844,49510
616,573,15873
1140,606,18681
846,792,41231
1326,536,12612
270,613,19905
1078,537,12815
1610,945,64957
716,816,45203
838,841,48769
483,620,19964
1152,541,13013
1428,841,48713
1698,557,14432
1492,926,62173
822,549,13830
717,756,36429
1204,570,15638
486,728,32554
1290,976,70619
1032,612,19444
1312,625,20837
978,457,7445
360,466,8075
540,858,51421
150,597,17973
1348,453,7145
1142,772,38746
1380,682,27216
1248,720,31583
396,865,52518
244,697,29157
1606,693,28324
1470,906,58910
1684,613,19454
1582,684,27136
807,1102,92739
1508,774,38666
670,634,21859
1118,586,17081
696,504,10272
1422,514,11157
1526,532,12461
1486,636,21874
474,912,59738
1614,545,13201
124,693,28580
1202,837,47879
1086,716,31482
868,497,9922
152,580,16680
1255,858,51317
810,588,17300
214,438,6542
608,444,6921
292,500,10376
902,450,7193
713,762,37506
1274,766,37608
1738,805,43079
1672,688,27588
548,505,10838
1741,581,16514
444,748,35735
1632,582,16577
1612,476,8544
138,534,12795
1552,608,19190
610,657,24502
710,538,13143
926,469,8256
1528,442,6583
904,661,24803
516,488,9330
1116,597,17978
528,593,17800
1244,648,23029
252,562,15057
1588,592,17243
224,614,19960
146,457,7448
730,669,25598
872,521,11704
1476,534,12411
1554,625,20763
1520,438,6401
422,492,9686
888,593,17729
1030,477,8716
1402,504,10473
1182,610,19323
1624,537,12822
118,541,13280
1410,453,7304
1746,566,15148
1608,474,8498
372,576,16146
1258,501,10291
1750,440,6442
302,554,14261
690,492,9765
1146,632,21539
984,469,8288
922,504,10518
802,486,9313
884,518,11352
304,464,7966
686,437,6506
